Player,Rating,Deviation,Games,Win,Draw,Loss,Lag,country
Frazer Penman,2108.96614224516,176.545625882975,6,1,0,5,0,Scotland
Peter Bom Jensen,2109.67103258048,101.886576637612,17,7,0,10,0,Denmark
Gergely Gati,2110.48925747767,126.582394243007,11,4,0,7,6,Switzerland
Dave den Ouden,2111.02866143883,200,0,0,0,0,0,Netherlands
Maarten Koopmans,2111.02866143883,200,0,0,0,0,0,Netherlands
Marc de Ruiter,2111.02866143883,200,0,0,0,0,0,Netherlands
Michael Boom,2111.02866143883,200,0,0,0,0,0,Netherlands
Michiel Smits,2111.02866143883,200,0,0,0,0,0,Netherlands
Paul de Geus,2111.02866143883,200,0,0,0,0,0,Netherlands
Vincent van der Bijl,2111.02866143883,200,0,0,0,0,0,Netherlands
William Bekkema,2111.02866143883,200,0,0,0,0,0,Netherlands
Stephen Schembri,2112.2862001407,155.333601623294,6,3,0,3,6,Malta
Dominic Leedham,2112.50255006419,152.463544606351,6,2,0,4,0,United.Nations
Norman Spiteri,2113.15827969099,150.042009314744,6,2,0,4,6,Malta
Christoph Van Der Schoot,2114.11356742588,160.29363056836,6,3,0,3,0,Belgium
Gard Andresen,2114.11692234371,126.005514900847,11,4,0,7,6,Norway
Joao Isidro,2114.89027178716,121.609695558238,12,5,0,7,0,Portugal
Ian Campbell,2115.13540298696,153.339865238083,6,2,0,4,0,Scotland
Dimitrios Bozikas,2115.23199254838,149.753191597115,6,2,0,4,6,Greece
Charles Soong,2115.65230994603,157.931410915502,6,1,0,5,0,Canada
Martin Šcepán,2118.10480796207,126.129894765458,11,4,0,7,6,Slovakia
David Mace,2118.54580767114,200,0,0,0,0,0,Scotland
Nicholas Joyce,2118.54580767114,200,0,0,0,0,0,Scotland
Valérian Tschanz,2119.08087562829,125.147274246818,11,5,0,6,6,France
Ross Silvers,2119.14764379188,141.114948636888,11,3,0,8,0,Scotland
David Kane,2119.42240964028,124.007978385416,11,5,0,6,0,Scotland
Rudolf Edlmayer,2120.27705733113,137.76948428957,10,5,0,5,6,Hungary
Alexander Alig,2124.50787419895,150.862510821869,6,3,0,3,6,Switzerland
Eetu Jokinen,2124.75839270258,163.972723768186,6,2,0,4,6,United.Nations
George Banavos,2124.80667808934,117.139643857083,12,6,0,6,0,Greece
Torjus EftestÃ¸l,2125.12252622663,155.446110121641,6,2,0,4,6,Norway
Matthew,2126.21569742951,153.8253092089,6,3,0,3,6,Malta
Alexandra Martinez,2126.52839195855,156.676099983959,6,2,0,4,0,Spain
Carlo Piccinini,2126.6067547682,126.808720599011,11,5,0,6,6,Italy
BenoÃ®t CÃ©rÃ©,2127.37184128141,169.537633109642,5,2,0,3,12,France
Marc Heredia,2127.59950816858,152.313613995198,6,3,0,3,0,Spain
Jason Jenson,2128.67284573168,120.257759470022,12,5,0,7,0,Ireland
Jun Chan,2129.15824046344,150.722661038298,6,3,0,3,0,Netherlands
Artem Volik,2129.6122994026,106.285333740614,17,7,0,10,0,Russia
Joao Nunes,2130.66167024941,127.13572698255,11,5,0,6,0,Portugal
Soren,2131.3146422159,168.990785919215,5,2,0,3,12,Denmark
Dominic Beyeler,2131.80329902801,106.696969931794,17,9,0,8,0,Switzerland
Botond Gati,2137.12156128966,169.411733827664,5,2,0,3,12,Switzerland
David Smith,2137.82533144765,166.810026040137,6,3,0,3,6,United.Nations
Sankha Amarakoon,2138.35844753943,150.86627143534,6,2,0,4,6,Netherlands
Antoine Granet Tza,2140.70809304416,200,0,0,0,0,0,France
Matthieu Vega Mouskapet,2140.70809304416,200,0,0,0,0,0,France
Victor Pons Tec,2140.70809304416,200,0,0,0,0,0,France
Sami Suikki,2143.29564556066,108.672861652723,17,8,0,9,0,Finland
Niko Ranta,2144.04691294264,157.752006891032,6,2,0,4,0,Finland
Pat Vance,2144.77683150707,124.208519573088,11,5,0,6,0,England
Tom Starren,2145.36036375032,110.858052711565,17,7,0,10,0,Netherlands
Mark Hayes,2146.95965051861,200,0,0,0,0,0,Ireland
Michael Porter,2146.95965051861,200,0,0,0,0,0,Ireland
Patrick Long,2146.95965051861,200,0,0,0,0,0,Ireland
Rob Read,2146.95965051861,200,0,0,0,0,0,Ireland
David Hendrikx,2147.2114057261,153.780643522914,6,3,0,3,6,Netherlands
Kasdovassilis Dimitrios,2147.41458791088,157.515248215237,6,3,0,3,0,Greece
Jonas Brand,2147.55435531647,108.788409433139,16,8,0,8,0,Norway
Christophe Dirckx,2147.59721047475,161.344967647105,6,3,0,3,6,Belgium
Miguel Correia,2151.89444132802,109.678624936392,17,7,0,10,0,Portugal
Pietro Fauch,2156.01173014107,105.23203560046,17,8,0,9,0,Italy
Jaden Liu,2159.14600290644,160.894376671471,6,3,0,3,6,China
PÃ©ter MolnÃ¡r,2159.40971155157,126.544232574365,11,6,0,5,6,Hungary
Areinikus,2159.51724008606,163.361675984446,6,4,0,2,6,Latvia
Fernando Segado,2159.77055073778,162.565314816517,6,3,0,3,0,Spain
Adam Jones,2159.86346604333,146.639581199537,6,3,0,3,0,Wales
Thomas Kastmann,2160.45453850153,123.974494941026,12,7,0,5,0,Norway
David Horwitz,2161.37051566119,125.862147891611,10,5,0,5,6,Austria
Dirk Pintjens,2161.68913319579,113.893901803662,17,7,0,10,0,Belgium
Peter Croft,2161.92158170792,121.900547409773,12,4,0,8,0,Ireland
Szymon Ratka,2162.21698873812,166.666481407783,5,2,0,3,12,Poland
Matej TkÃ¡c,2163.01119828861,155.478905247819,6,2,0,4,6,Slovakia
Stephan Germark,2165.89258923976,126.772138260259,11,5,0,6,0,Denmark
Russell Harman,2170.49368315109,152.064158033093,6,3,0,3,0,United.Nations
Bogdan Novikov,2170.72900787885,152.238638785018,6,3,0,3,0,Russia
Baptiste Schmittlin,2171.82601382393,108.539237702104,17,8,0,9,0,France
Mark Attard,2173.00008349712,147.637380028399,6,3,0,3,6,Malta
Yaroslav Karmannyy,2173.40915571635,152.660513546008,6,3,0,3,0,Russia
Kevin Maeder,2174.23179234139,121.808262022371,12,5,0,7,0,Portugal
Wojciech Guzowski,2174.87452397282,180.162845760079,5,2,0,3,12,Poland
Paris Boubouras,2175.03899003737,157.553773225796,6,4,0,2,0,Greece
Panagiotis Ntemiris,2175.63968334953,154.391412483077,6,3,0,3,6,Greece
Michael Marlier,2176.76034933054,170.97707290882,5,3,0,2,12,NA
Kuba,2180.76520589968,153.981060864682,6,3,0,3,6,Norway
Niels Pecherz,2180.8106393852,153.523158649242,6,3,0,3,6,Germany
Emil,2181.67521849973,172.999264412762,5,2,0,3,12,Denmark
Frederik Munch,2181.67521849973,200,0,0,0,0,0,Denmark
Nikolaj Ulf,2181.67521849973,200,0,0,0,0,0,Denmark
Søren,2181.67521849973,200,0,0,0,0,0,Denmark
Casper Jellema,2182.63566629268,105.677476094317,17,9,0,8,0,Netherlands
Eoin Brennan,2184.75680092924,103.902468886682,17,8,0,9,0,Ireland
Julien Dupoirieux,2185.8656480218,123.559193484648,12,5,0,7,0,France
Philipp Schaper,2187.14698092792,152.714361143983,6,3,0,3,0,Germany
Phil Doogan,2187.51892983497,157.334094370615,6,3,0,3,0,Ireland
Stuart Gorman,2188.1397046326,121.984122746355,11,5,0,6,6,Ireland
Ross Harkin,2189.06926232289,146.890647988837,6,3,0,3,0,Scotland
Chad Shonkwiler,2191.65824004679,176.047053433407,5,2,0,3,12,USA
Chris Orr,2193.97635179554,152.246459006347,6,2,0,4,0,Canada
Peter Gaublomme,2195.18741419306,117.203459348635,12,6,0,6,0,Belgium
Niek van Slagmaat,2195.67985506211,155.57380376162,6,4,0,2,6,Netherlands
Simon Sorensen,2196.14544204894,121.296635497207,11,5,0,6,6,Denmark
Ntemiris Panagiotis,2198.0322862345,161.272266643909,6,3,0,3,0,Greece
Daniel Knauss,2198.05433120208,128.094564118068,11,6,0,5,6,Germany
Davide Insinna,2199.73259091853,200,0,0,0,0,0,Italy
Francesco Recchiuti,2199.73259091853,200,0,0,0,0,0,Italy
Vincenzo Rotondo,2199.73259091853,200,0,0,0,0,0,Italy
Florian Hartmann,2200.489569112,135.732760157679,10,5,0,5,7,Austria
Michal Nakonieczny,2202.22095063152,106.88926728097,17,7,0,10,0,Poland
Andre Suwanda,2204.32848107016,156.680865797614,6,3,0,3,6,Switzerland
Nikolaos Kerazoglou,2204.59671368229,148.810649369269,6,3,0,3,6,Greece
Gabor Wolf,2206.34212681497,132.723988719608,11,7,0,4,6,Hungary
Vojtech Medonos,2207.25255184155,124.188422547984,12,8,0,4,0,Czech.Republic
SÃ¸ren Laust Jacobsen,2211.0977193389,148.161622599312,6,2,0,4,0,Denmark
Julien Rieant,2211.8457749416,147.786341135879,6,3,0,3,0,France
Mikkel Christensen,2212.04552257221,115.428485917342,12,7,0,5,0,Norway
Antti Jussila,2213.20803082987,200,0,0,0,0,0,Finland
Iiro Järvenpää,2213.20803082987,200,0,0,0,0,0,Finland
Jani Kautto,2213.20803082987,200,0,0,0,0,0,Finland
Jarkko Vahamaa,2213.20803082987,200,0,0,0,0,0,Finland
Joonas Heinonen,2213.20803082987,200,0,0,0,0,0,Finland
Tuomas Toimela,2213.20803082987,200,0,0,0,0,0,Finland
Adrien Cahier,2214.56633930015,149.467295964436,6,3,0,3,0,France
Dylan Sultana,2215.5436673221,159.554471195037,6,2,0,4,6,Malta
Anthony O'Reilly,2215.94987934041,125.87595247037,10,5,0,5,0,Ireland
Andrei Ivanov,2216.30074220075,123.42295232282,11,6,0,5,0,Russia
Ivanov Andrei,2216.42930281587,152.050672628351,6,3,0,3,6,Russia
Viktor Nelipovich,2218.70034890232,107.703619619665,17,9,0,8,0,Russia
Samu Jarvinen,2220.89259948401,119.668186431912,12,6,0,6,0,Finland
Orestis Argiropoulos,2220.90138721604,121.753364789683,12,8,0,4,0,Greece
Luis Leite,2221.20434136326,153.951639610456,6,3,0,3,0,Portugal
Laurents Rønved,2222.97630629109,122.129144282204,11,5,0,6,6,Denmark
Mike Davies,2225.95718933098,121.202786687142,11,6,0,5,0,Wales
Frederik Punt,2227.18046242963,160.730645931017,6,3,0,3,0,Netherlands
Janne Mikkola,2228.26976862328,122.360015806687,12,6,0,6,0,Finland
Darren,2230.57558813524,154.86876738062,6,3,0,3,6,Malta
Sebastian Kaas Petersen,2230.87032534467,152.754713136969,6,3,0,3,0,Denmark
Konstantin Kruchinin,2231.36029318649,157.262197541959,6,3,0,3,0,Russia
Peter Cornelious DyhreÂ­Poulsen,2232.2801501949,150.760267861163,6,3,0,3,0,Denmark
Kerazoglou Nikolaos,2233.77579045451,156.248254707926,6,3,0,3,0,Greece
Diego Moruzzo,2235.5042042819,120.126186898504,12,6,0,6,0,Italy
AurÃ©lien Guiramand,2236.66553755748,119.770125479161,12,6,0,6,0,France
Ben Fuzi,2238.42732033213,149.785281237039,6,3,0,3,0,Germany
Chris Gatt,2238.58382344325,161.07940163868,6,4,0,2,6,Malta
SÃ¸ren Husum,2238.64502715013,150.488155876543,6,4,0,2,6,Denmark
Kai Soltau,2238.91634102856,172.532516530709,5,3,0,2,12,Austria
Bernhard Bornatowicz,2239.89209850983,127.845720111223,11,6,0,5,6,Austria
Marc Nielsen,2241.50764342328,165.824304006436,6,3,0,3,0,Denmark
Ferenc Venczel,2242.26326087003,154.411138293778,6,4,0,2,6,Hungary
Peter Rodler,2243.37054648371,120.913590031874,12,6,0,6,0,Denmark
Alexandre Maiffret,2243.70372136066,115.6229205181,12,6,0,6,0,France
Lukasz Kruszenski,2244.8917974824,120.287853014532,12,6,0,6,0,Canada
DCM,2246.19859768162,200,0,0,0,0,0,Austria
JustDan,2246.19859768162,200,0,0,0,0,0,Austria
